время	[vrʲˈemʲə]	Zeit	[ʦaɪ̯t]
человек	[t͡ɕɪlɐvʲˈek]	Person	[pɛʁˈzoːn]
год	[ɡˈot]	Jahr	[jaːɐ̯]
прочь	[prˈot͡ɕ]	Weg	[veːk]
день	[dʲˈenʲ]	Tag	[taːk]
вещь	[vʲˈeɕː]	Ding	[dɪŋ]
мужчина	[mʊɕːˈinə]	Mann	[man]
мир	[mʲˈir]	Welt	[vɛlt]
жить	[ʐˈɨtʲ]	Leben	[ˈleːbn̩]
рука	[rʊkˈa]	Hand	[hant]
часть	[t͡ɕˈæsʲtʲ]	Teil	[taɪ̯l]
ребёнок	[rʲɪbʲˈɵnək]	Kind	[kɪnt]
глаз	[ɡlˈas]	Auge	[ˈaʊ̯ɡə]
женщина	[ʐˈɛnʲɕːɪnə]	Frau	[fʀaʊ̯]
забой	[zɐbˈoj]	Ort	[ɔʁt]
работа	[rɐbˈotə]	Arbeit	[ˈaʁbaɪ̯t]
неделя	[nʲɪdʲˈelʲə]	Woche	[ˈvɔχə]
падение	[pɐdʲˈenʲɪjə]	Fall	[fal]
точка	[tˈot͡ɕkə]	Punkt	[pʊŋkt]
правительство	[prɐvʲˈitʲɪlʲstvə]	Regierung	[ʀeˈɡiːʀʊŋ]
бог	[bˈox]	s74053	[ɡɔt]
