Englisch - Deutsch
time	[ˈtaɪm]	Zeit	[ʦaɪ̯t]
person	[ˈpɜːsən]	Person	[pɛʁˈzoːn]
year	[ˈyɪr]	Jahr	[jaːɐ̯]
path	[ˈweɪ]	Weg	[veːk]
day	[ˈdeɪ]	Tag	[taːk]
thing	[ˈθɪŋ]	Ding	[dɪŋ]
man	[ˈmæn]	Mann	[man]
world	[ˈwɜːld]	Welt	[vɛlt]
life	[ˈlaɪf]	Leben	[ˈleːbn̩]
hand	[ˈhænd]	Hand	[hant]
part	[ˈpɒrt]	Teil	[taɪ̯l]
child	[ˈʧaɪld]	Kind	[kɪnt]
eye	[ˈaɪ]	Auge	[ˈaʊ̯ɡə]
woman	[ˈwʊmən]	Frau	[fʀaʊ̯]
place	[ˈpleɪs]	Ort	[ɔʁt]
work	[ˈwɜːk]	Arbeit	[ˈaʁbaɪ̯t]
week	[ˈwiːk]	Woche	[ˈvɔχə]
case	[ˈkeɪs]	Fall	[fal]
point	[ˈpɔɪnt]	Punkt	[pʊŋkt]
government	[ˈgʌvɜːmənt/ˈgʌvɜːnmənt]	Regierung	[ʀeˈɡiːʀʊŋ]
god	[ˈgɒd]	s74053	[ɡɔt]
