Hebräisch - Deutsch
זמן	[sman]	Zeit	[ʦaɪ̯t]
בריה	[briJA]	Person	[pɛʁˈzoːn]
שנה	[schanA]	Jahr	[jaːɐ̯]
דרך	[dErech]	Weg	[veːk]
יום	[jom]	Tag	[taːk]
דבר	[dawAr]	Ding	[dɪŋ]
גבר	[gEwer]	Mann	[man]
עולם	['olAm]	Welt	[vɛlt]
חיים	[chajIm]	Leben	[ˈleːbn̩]
יד	[jad]	Hand	[hant]
חלק	[chEleck]	Teil	[taɪ̯l]
ילד	[jEled]	Kind	[kɪnt]
עין	['Aiin]	Auge	[ˈaʊ̯ɡə]
אישה	['ischA]	Frau	[fʀaʊ̯]
התנחלות	[hitnachlUtt]	Ort	[ɔʁt]
עבודה	[awodA]	Arbeit	[ˈaʁbaɪ̯t]
שבוע	[schawU'a]	Woche	[ˈvɔχə]
מאורע	[me'orA']	Fall	[fal]
דגש	[dagEsch]	Punkt	[pʊŋkt]
ממשלה	[memschalA]	Regierung	[ʀeˈɡiːʀʊŋ]
אלוהים	['elohIm]	s74053	[ɡɔt]
